Slovenian,English
hitrosti,speed
igri,the game
imele,mistletoe
imelo,mistletoe
izdala,released
izdelkov,products
izkazalo,proved
izkušnje,experience
izvedbi,implementation
izvedli,carried out
išče,is looking for
karantena,quarantine
kaznivega,criminal
kaznivih,criminal
kolesarjev,cyclists
kriminalisti,criminals
lasti,owned
letno,annually
letoma,two years
letošnjem,this year's
mejnih,borderline
mesecu,month
meter,meter
metra,meters
mimo,passed
minutah,minutes
miru,peace
mogoèe,possible
moštvo,team
nacionalni,national
nadzora,control
najboljšega,the best
nakup,purchase
nalog,order
napovedali,announced
naravi,nature
naredil,did
nastopil,performed
našo,ours
našteli,listed
nedavno,recently
nekako,somehow
nekdo,someone
nemška,German
nikakor,no way
nikogar,nobody
njenem,hers
nobenega,none
nobenih,none
nogometaši,soccer players
nogometni,football
nujne,urgent
obletnici,anniversaries
obstajajo,they exist
obvezno,mandatory
odbora,of the committee
odhod,departure
odlok,decree
odprla,opened
odprtje,opening
odru,stage
osebni,personal
osmih,eight
ostale,the rest
osvojila,won
označil,marked
paket,package
plačati,to pay
podobne,similar
pogled,view
pogojev,conditions
pogoji,conditions
pogovori,conversations
pokazali,showed
policijske,police
politike,policies
položaju,position
pomembne,important
pomena,importance
popolno,perfect
poročilo,report
posebne,special
poslovanje,business
postavila,set up
potreboval,needed
potrebujemo,we need
povedati,to say
površin,surfaces
povzročil,caused
poziv,call
pozornost,attention
počitnice,holidays
praktično,practical
pravica,right
prebivalci,residents
predsedniku,to the president
preiskavi,investigation
premagal,defeated
prevzem,taking over
prihodnost,the future
prihodu,arrival
prinesel,brought
pripravi,prepare
prireditve,events
pritisk,pressure
pričakovali,expected
proizvodnje,production
prviè,the first time
ravnanja,behavior
ravnanje,conduct
razliènih,different
razlog,the reason
razreda,class
razume,he understands
rdeči,red
rezerve,reserves
reševanje,rescue
rešili,solved
rešiti,to solve
sezona,season
sklad,fund
slabega,bad
slabih,bad ones
službo,a job
smer,direction
snega,snow
sodbo,judgment
splošno,general
sprejel,accepted
spremljali,monitored
srca,hearts
sreče,luck
stalno,constantly
stanja,conditions
starih,old ones
storil,did
strokovna,professional
strokovni,professional
stroškov,costs
stvar,thing
take,such
tednov,weeks
telefonu,phone
testi,tests
točki,points
trdi,claims
trgovino,trade
tuje,foreign
ugotavljajo,they determine
ukrepih,measures
umetnost,art
uspeli,succeeded
uspešna,successful
učenci,pupils
učinkovito,efficiently
val,wave
veljala,was valid
ven,out
višja,higher
vključno,inclusive
vloge,roles
vodenje,leadership
vodijo,lead
vodo,water
vojaške,military
vozilo,vehicle
vrednost,value
vrnitev,the return
vso,everything
vèeraj,last night
zadel,hit
zadovoljni,satisfied
zagotovil,provided
zahtevo,request
zase,for myself
zatem,afterwards
zdravi,healthy
zmaga,victory
znašel,found out
znižanje,reduction
član,member
članic,members
šel,went
šesti,the sixth
škode,damages
številka,number
štirje,four
Žal,Sorry
žensko,a woman
žogo,the ball
Američani,Americans
Avstrije,of Austria
BDP,GDP
Bled,Pale
Celju,Celje
David,David
Domžale,Sorry
Eden,One
Evropska,European
Kakšna,What kind
Maja,May
Marko,Marko
Miami,Miami
Pod,Under
Povedal,Told
SD,SD
SP,SP
Skupaj,Together
Slovenec,Slovenian
Tokrat,This time
Veliki,The big one
Vodja,Leader
Zadnja,The last one
Zgodba,The story
aplikacije,applications
bližini,nearby
bolnišnic,hospitals
cepljenje,vaccination
cest,roads
dala,gave
delavce,workers
delodajalci,employers
delovanju,operation
devetih,nine
dnem,days
dodatek,addition
dogodku,the event
dogovorili,agreed
dohodka,income
dolge,long
dosledno,consistently
dovoljenja,permits
doživel,experienced
drugačen,different
državne,national
drži,true
dvorani,halls
edina,the only one
enote,units
finančni,financial
glavna,the main one
hiš,houses
igrala,played
igrati,to play
igrišča,playgrounds
informacijah,information
inšpektorat,inspectorate
isto,the same
italijanski,Italian
izbruha,erupts
izhaja,comes out
izjavil,declared
izpeljali,carried out
iščejo,are looking for
jima,to them
kakovosti,quality
kakšnih,what kind
kitajskih,Chinese
kmetijstvo,agriculture
knjigi,the book
količina,quantity
koncert,a concert
kratkim,short
kratko,short
kulture,cultures
kulturne,cultural
kupci,buyers
lastne,own
lastnih,own
lastnik,the owner
mati,mother
mednarodni,international
mere,measurements
mesece,months
milijon,million
ministrica,minister
morate,you must
morebitni,possible
morju,the sea
most,bridge
nadaljevanje,continuation
nadaljevati,to continue
nadaljnje,further
nadzorom,control
naenkrat,at once
namenjen,intended
namerava,intends to
napadel,attacked
naprave,devices
narašča,is increasing
naredila,did
naredili,have done
naslednje,the following
naslovom,address
natančno,precisely
navaja,states
navijačev,fans
nekje,somewhere
nevarnost,danger
nižja,lower
njene,hers
njenega,hers
njeni,hers
normalno,normal
novinarjev,journalists
nujnih,urgent
obiska,visit
obiskovalcev,visitors
obisku,visit
objavili,published
obnovo,restoration
obsega,range
oddajo,broadcast
oddelka,department
oddelku,department
odgovoril,answered
odgovornosti,responsibilities
odkar,since
odpadkov,waste
okolice,surroundings
okolici,surroundings
okoliščinah,circumstances
okriljem,auspices
ona,she
oni,they
opravila,done
opravljajo,perform
organizatorji,organizers
organizirati,organize
osebnega,personal
osnovnih,basic
ostalih,the others
pacientov,patients
padcu,fall
padla,fell down
pasu,belt
petdeset,fifty
plačila,payments
pobudo,initiative
podali,passed
podjetjem,companies
pojasnjujejo,they explain
pokal,cup
pokazala,showed
politične,political
politični,political
politično,political
polnoči,midnight
pomagati,to help
pomanjkanje,lack
poraz,defeat
posebnega,special
poskušal,tried
poslal,sent
postaja,the station
postaje,stations
postane,becomes
postavil,set up
postaviti,to put
postelj,of beds
potrdilo,certificate
potreben,necessary
poudarjajo,they emphasize
pouk,lessons
povečala,increased
povsod,everywhere
pozitiven,positive
pozitivni,positive
pozitivnih,positive ones
pozvali,invited
poškodbe,injuries
pravil,rules
pravne,legal
prebivalce,residents
predlaga,suggests
predloga,template
preiskave,investigations
prepovedi,prohibitions
preprečili,prevented
preprosto,simply
prestolnici,the capital
prevoz,transportation
prijavo,application
primera,example
primerna,suitable
prinesli,brought
pripraviti,to prepare
pripravlja,is preparing
pripravljen,ready
pripravo,preparation
priti,to come
prodaje,sales
prosto,freely
raven,level
raziskovalno,research
razkuževanje,disinfection
razmeram,conditions
razredu,class
recimo,let's say
rednega,regular
relativno,relatively
rojstni,birthday
samem,alone
sekretar,the secretary
silo,force
sklenil,concluded
skrbijo,they care
skupnega,common
slab,bad
slišati,to hear
smislu,meaning
snovi,substances
sodeloval,participated
sodelovali,cooperated
spletne,online
spremembo,the change
spreminjajo,are changing
sredstvi,funds
stanovalci,residents
status,status
storili,did
stranko,the customer
svojemu,to his own
tedne,weeks
tekmovanj,competitions
terenu,the field
testiranju,testing
tistimi,those
tisto,that
tretjega,the third
tretjini,a third
tujine,abroad
tujino,abroad
udeleženci,participants
umrla,died
univerze,universities
upokojencev,pensioners
uporabnikov,of users
uradne,official
ustrezne,appropriate
uvedbo,introduction
varnostnih,security
vaše,yours
velikokrat,many times
veljati,to apply
verigi,chains
videl,saw
vina,wines
vir,resource
virusom,viruses
vojaki,soldiers
vpliv,influence
vrnitvi,return
vsebuje,contains
vstop,entry
vztraja,insists
zadeva,matter
zagotavljajo,they provide
zahtevajo,they require
zanima,interested
zaprte,closed
zaprtih,closed
zaupanje,confidence
zavod,institution
zaèeli,started
zbiranja,collections
zdravljenja,treatment
zdravnikov,doctors
zdravstvo,healthcare
znanih,known
znanja,knowledge
znašal,amounted to
zvezni,federal
Češkem,Czech
četrto,the fourth
člane,members
šestimi,by six
štaba,headquarters
številko,number
štirimi,by four
žena,wife
živijo,they live
Ana,Ana
Avstraliji,Australia
Avstrija,Austria
Avstriji,Austria
Bledu,Pale
Dallas,Dallas
Italijo,Italy
Ljubljanski,Ljubljana
Loka,Bow
Matej,Matthew
Mura,Mura
Najvišje,The highest
Nemec,German
Nemčijo,Germany
New,New
Njegov,His
Obenem,At the same time
Obèina,Municipality
Pogačar,Cake maker
Samo,Only
Ste,You are
Vedno,Always
Vseeno,Anyway
Včeraj,Yesterday
York,York
akcijo,action
aprilu,in April
avto,car
bank,bank
barv,colors
beguncev,refugees
besed,words
bolnik,the patient
bolniki,patients
ceno,the price
centimetrov,centimeters
desetletja,decades
dodali,added
dogajanja,happenings
dokaj,fairly
domovi,homes
dopust,vacation
dosedanji,the previous one
dosegla,achieved
dostopa,of access
dpa,dpa
druženja,socializing
državam,countries
dvoboja,duel
finala,finals
generacije,generations
generalni,general
glavne,the main ones
glavno,the main thing
gore,mountains
gori,it's burning
gospodinjstev,households
gradu,the castle
gredo,they go
hitreje,faster
hrvaške,Croatian
hčerka,daughter
igrah,games
imaš,you have
imena,names
institucije,institutions
intervjuju,the interview
iskali,searched for
iskreno,sincerely
izdelke,products
izključno,exclusively
izkoristiti,take advantage of
izrazito,distinctly
izrednih,extraordinary
izvaja,performs
izvedel,found out
izzive,challenges
jesen,autumn
jeseni,in autumn
kajti,because
kakšni,what kind
kamere,cameras
kandidatov,candidates
ključnih,key
klubi,clubs
koga,someone
kolesa,wheels
kolo,bike
košarkarji,basketball players
kraja,place
kvadratnih,square
ladje,ships
lanskega,last year's
lastniki,the owners
letališču,the airport
letošnjega,this year's
ljubezen,love
lokacijah,locations
luč,the light
majico,shirt
mandat,mandate
manjše,smaller ones
manjših,smaller ones
medicinskih,medical
medije,the media
menda,I guess
mestom,places
migrantov,migrants
mnoge,many
morale,morality
morebitne,possible
morete,you can
močan,strong
moških,men
možen,possible
muzej,museum
nadaljeval,continued
nadaljevalo,continued
naloga,task
namenili,intended
napadu,attack
napoved,prediction
napovedala,announced
napovedujejo,predict
narodov,nations
nasilje,violence
navadno,usually
navajajo,they state
navedli,stated
nege,care
neke,some
nemudoma,immediately
nemškega,German
ničesar,nothing
nje,her
njemu,to him
nobena,none
noge,legs
notranji,internal
novemu,to the new one
obdobja,periods
obenem,at the same time
obeta,the prospect
objekta,of the facility
oblike,shapes
obmoèju,area
obrambi,defense
obrambo,defense
obravnavo,consideration
obsegu,scope
obèine,communities
odpovedali,cancelled
odprta,open
odprtju,opening
odstopu,resignation
okrevanje,recovery
opazili,noticed
ostane,remains
pandemiji,pandemic
parlamentu,to the parliament
pisma,letters
plačevali,were paying
plačilo,payment
plin,gas
področje,area
pogovor,conversation
pokrajine,landscapes
policiji,to the police
policijsko,police
politik,a politician
politika,politics
politiko,politics
položaja,position
pomembni,important
pomoèi,help
ponoči,at night
popolna,perfect
portal,portal
posameznikov,individuals
poskrbeti,take care of
poslala,sent
poslanske,deputies
posredovali,intervened
potekalo,took place
povezan,connected
povezani,connected
povečalo,increased
povečuje,increases
pozitivno,positively
predlagal,suggested
predsednikom,to the president
prehod,transition
prehodih,transitions
prejela,received
prejšnjega,the previous one
prenos,transfer
preselil,moved
prestolnice,of the capital
pretežno,predominantly
prevzela,took over
prihajajo,they are coming
prijeli,caught
primere,cases
prispevkov,contributions
pristojni,competent
pristojnosti,powers
pričakovati,to expect
programu,program
projektu,to the project
prometu,traffic
razkril,revealed
razlika,the difference
razlike,differences
različno,different
razmišlja,is thinking
razstavo,exhibition
razumeti,to understand
red,order
redko,rarely
reči,to say
ruski,Russian
seje,sessions
sekunde,seconds
seštevku,total
situacija,the situation
sklenili,concluded
skupinah,groups
skupnem,common
slaba,bad
sliko,picture
smeli,bold
smemo,we are allowed
smrt,death
socialnih,social
sodelavec,a colleague
sodeluje,participates
sodniki,judges
solidarnosti,solidarity
sporočilo,message
sporočilu,message
spoštovanje,respect
spregovoril,spoke
sprejeta,accepted
spremenili,changed
spremlja,follows
srce,heart
stanovanja,apartments
storiti,to do
strahu,of fear
stroka,profession
strokovnjak,an expert
stroške,expenses
svetniki,Saints
svetovnih,of the world
svetovno,worldwide
svobode,freedom
takih,such
takšni,such
tamkajšnje,there
tednom,a week
tekmeca,competitor
telesa,bodies
telesne,physical
težavami,problems
točkah,points
tretjo,the third
trgih,markets
trgovinah,shops
tujcev,foreigners
tveganja,risks
ulice,streets
ulici,street
upa,she hopes
upanje,hope
uporabili,used
uporabljali,used
uporabniki,users
upoštevanju,consideration
upravi,administration
ustanove,institutions
ustavno,constitutionally
veljal,was valid
veljavi,valid
vesela,happy
veseljem,joy
vetra,wind
večer,the evening
visokih,tall
vladavine,of the reign
vojska,army
volje,will
vreme,the weather
vsebinsko,substantively
zadnjič,last time
zajema,covers
zanje,for them
zares,for real
zaznali,detected
začenja,is starting
zaščitno,protective
zbornice,chambers
zbral,collected
zdelo,it seemed
zeleno,green
zgodil,happened
zgodovino,history
zmagala,won
zmanjšanje,reduction
zna,knows
znamke,brands
znana,known
znesek,the amount
zrak,air
zraka,air
zveza,union
članicami,members
Šarec,Sharec
Številni,Many
širi,spreads
šolstvo,education
štab,headquarters
študentov,students
Življenje,Life
želim,i want
želja,desire
željo,desire
življenjsko,vital
APA,APA
Aleksander,Alexander
Američanov,Americans
Borut,Borut
Brdu,Brdo
Bruselj,Brussels
Bruslju,Brussels
Celja,Celja
Celovcu,Klagenfurt
Doma,At home
Domu,Home
Donald,Donald
Donald,Donald
Dončić,Doncic
Dva,Two
Evropa,Europe
Franc,Frank
Glavni,The main one
Gregor,Gregor
Grčija,Greece
Imeli,Had
Istri,Istria
Janez,John
Janeza,John
Južni,Southern
Kakor,As
Kamnik,Stone
Kasneje,Later
Kdaj,When
Kitajski,Chinese
LMŠ,LMŠ
Luke,Luke
Madridu,Madrid
Marjan,Marjan
Miha,Miha
Ministrica,Minister
Največji,The biggest
Namesto,Instead of
Nič,Nothing
Olimpija,Olympia
Otroci,Children
Pandemija,A pandemic
Peter,Peter
Petra,Peter
Pivec,A drinker
Podjetje,Company
Pravzaprav,In fact
Preden,Before
Primož,Primož
Prvo,The first
RTVS,RTVS
Sam,Alone
Slovensko,Slovenian
Smo,We are
Tadej,Tadej
Težko,Difficult
The,The
Tisti,The one
Tonin,Tunin
Touru,Tour
Triglav,Triglav
Tu,Here
Velika,A big one
Verjetno,Probably
Včasih,Sometimes
ZZZS,ZZZS
Zagrebu,Zagreb
Zavoda,Institute
Zdravniki,Doctors
Zdravstveni,Medical
ameriška,American
avstrijsko,Austrian
avtocesti,highways
besedami,words
blagovne,merchandise
bojijo,they are afraid
boleznijo,disease
boljšo,better
brisov,swabs
celoten,the whole
cen,prices
cerkev,the church
današnjim,today's
dejali,they said
dekleta,girls
delali,worked
delati,to work
deli,shares
delovni,working
dijaki,students
direktorica,director
dnevne,daily
dnevni,daily
dobri,good ones
dodatke,accessories
dokument,document
določa,determines
domnevno,allegedly
doseči,to achieve
droge,drugs
drugič,the second time
državna,national
državnem,state
državnim,state
dvajset,twenty
elitni,elite
enakem,the same
enim,one
enostavno,easy
epidemioloških,epidemiological
festival,festival
financiranja,financing
funkcije,functions
glavnem,mainly
glavnih,of the main ones
goro,mountain
gospodinjstva,households
gostje,guests
gripe,flu
gripi,the flu
hitrostjo,speed
hiša,house
hrani,feeds
hrvaškega,Croatian
igralca,the player
igralce,players
igrali,played
igralka,an actress
industrija,industry
industrije,industry
izbor,selection
izbrali,chose
